INFO 2023-04-25 12:11:42,983 Watching for file changes with StatReloader
INFO 2023-04-25 12:11:46,624 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:11:46,737 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:11:46,892 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:11:46,898 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:11:46,900 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:11:46,902 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:11:46,902 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:11:46,906 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:11:46,908 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:11:46,919 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:11:46,921 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:11:46,923 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:11:46,924 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:11:46,927 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:12:37,328 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:12:37,376 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
